5,cpx_0_0_0,cpx_0_1_0,cpx_1_0_0,cpx_1_0_1,cpx_1_1_0
num_nodes_300_seed_10_time_limit_60.00,68.78,64.5,29.58,22.28,17.7
num_nodes_300_seed_11_time_limit_60.00,70.08,65.87,26.61,18.25,17.34
num_nodes_300_seed_1_time_limit_60.00,32.6,31.28,23.48,19.8,18.91
num_nodes_300_seed_2_time_limit_60.00,39.08,37.91,15.16,17.07,13.89
num_nodes_300_seed_3_time_limit_60.00,18.1,21.78,17.44,19.01,19.22
num_nodes_300_seed_4_time_limit_60.00,52.19,59.12,43.65,28.91,35.44
num_nodes_300_seed_5_time_limit_60.00,27.22,26.82,16.53,13.65,16.17
num_nodes_300_seed_6_time_limit_60.00,15.67,16.69,23.88,23.29,19.39
num_nodes_300_seed_7_time_limit_60.00,12.31,12.35,14.95,12.85,11.91
num_nodes_300_seed_8_time_limit_60.00,18.31,24.13,15.37,14.77,15.12
num_nodes_300_seed_9_time_limit_60.00,11.87,14.79,11.08,13.71,8.16
